DATE,CSUSHPINSA
8/1/13,159.416
9/1/13,159.696
10/1/13,159.582
11/1/13,159.394
12/1/13,159.315
1/1/14,159.408
2/1/14,159.914
3/1/14,161.232
4/1/14,163.01
5/1/14,164.723
6/1/14,166.247
7/1/14,167.166
8/1/14,167.482
9/1/14,167.278
10/1/14,166.95
11/1/14,166.704
12/1/14,166.512
1/1/15,166.305
2/1/15,166.692
3/1/15,168.153
4/1/15,170.036
5/1/15,171.919
6/1/15,173.519
7/1/15,174.563
8/1/15,175.01
9/1/15,175.125
10/1/15,175.137
11/1/15,175.238
12/1/15,175.218
1/1/16,175.139
2/1/16,175.384
3/1/16,176.702
4/1/16,178.593
5/1/16,180.451
6/1/16,182.047
7/1/16,183.173
8/1/16,183.826
9/1/16,184.127
10/1/16,184.209
11/1/16,184.435
12/1/16,184.624
1/1/17,184.877
2/1/17,185.27
3/1/17,186.791
4/1/17,188.812
5/1/17,190.818
6/1/17,192.557
7/1/17,193.822
8/1/17,194.666
9/1/17,195.141
10/1/17,195.413
11/1/17,195.79
12/1/17,196.172
1/1/18,196.181
2/1/18,197.013
